epoch,train_loss,generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
1,0.3194566760730708,2026-06-10T09:16:29.260007+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9262435677530018,0.9233307120154907,0.9235919653406853,0.8936737804878049,0.9083865969397638,3789,2624,0.9647731679959317,0.959800577181049,0.05966954523393091,3595,194,279,2345
2,0.18814853607813464,2026-06-10T09:16:36.776423+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9327927646967098,0.930379394358314,0.922543352601156,0.9123475609756098,0.9174171297183369,3789,2624,0.9713178070022981,0.9679972979720413,0.05243465611248825,3588,201,230,2394
3,0.1493757165425865,2026-06-10T09:16:44.211805+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9346639638234836,0.9318909575814317,0.9418837675350702,0.895579268292683,0.918148075796054,3789,2624,0.9708037427019163,0.9685347515607727,0.05278215816541845,3644,145,274,2350
4,0.12376490018407048,2026-06-10T09:16:52.960546+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.935131763605177,0.9328064252561247,0.9252696456086287,0.9153963414634146,0.9203065134099617,3789,2624,0.9715867578806431,0.9688363561904213,0.05280277723813168,3595,194,222,2402
5,0.10297594608794605,2026-06-10T09:17:00.570624+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9370029627319507,0.9344776301792184,0.9387351778656127,0.9051067073170732,0.9216142801707412,3789,2624,0.9702485411879058,0.9677465148593876,0.053347199926012015,3634,155,249,2375
6,0.08410672919199563,2026-06-10T09:17:08.116327+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9349758303446125,0.9325590419615799,0.9285436893203883,0.911204268292683,0.9197922677437969,3789,2624,0.9677480724851786,0.9654133095355896,0.05596476012339682,3605,184,233,2391
7,0.06835567505195893,2026-06-10T09:17:16.942958+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.934819897084048,0.9324995779703333,0.9242307692307692,0.9157774390243902,0.9199846860643185,3789,2624,0.9690579759123006,0.9670146225895049,0.05579536215489539,3592,197,221,2403
8,0.05841356921162071,2026-06-10T09:17:24.780036+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9299859660065491,0.9276008077407254,0.9142857142857143,0.9146341463414634,0.9144598971232616,3789,2624,0.9644335093885381,0.9575585456895328,0.06004358495824642,3564,225,224,2400
9,0.04861786572236625,2026-06-10T09:17:32.507404+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9324808981755809,0.9297158073365575,0.9352403655145014,0.8971036585365854,0.9157751410231473,3789,2624,0.9634906223245725,0.9613929830562512,0.06017396567705501,3626,163,270,2354
10,0.04550026657700756,2026-06-10T09:17:40.188105+00:00,456,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9331046312178388,0.930310981738067,0.93812375249501,0.895579268292683,0.9163579645155001,3789,2624,0.9647406303709712,0.9613880075760403,0.0590099824835511,3634,155,274,2350
