label_name,_rating_numeric,review_count,fake_count,fake_rate,stat_type,count,mean,std,min,25%,50%,75%,max
fake,1.0,2435.0,2435.0,1.0,rating_distribution_by_label,,,,,,,,
fake,2.0,881.0,881.0,1.0,rating_distribution_by_label,,,,,,,,
fake,3.0,1118.0,1118.0,1.0,rating_distribution_by_label,,,,,,,,
fake,4.0,1899.0,1899.0,1.0,rating_distribution_by_label,,,,,,,,
fake,5.0,11161.0,11161.0,1.0,rating_distribution_by_label,,,,,,,,
real,1.0,4085.0,0.0,0.0,rating_distribution_by_label,,,,,,,,
real,2.0,1768.0,0.0,0.0,rating_distribution_by_label,,,,,,,,
real,3.0,2329.0,0.0,0.0,rating_distribution_by_label,,,,,,,,
real,4.0,2930.0,0.0,0.0,rating_distribution_by_label,,,,,,,,
real,5.0,14143.0,0.0,0.0,rating_distribution_by_label,,,,,,,,
all,1.0,6520.0,2435.0,0.37346625766871167,fake_rate_by_rating,,,,,,,,
all,2.0,2649.0,881.0,0.3325783314458286,fake_rate_by_rating,,,,,,,,
all,3.0,3447.0,1118.0,0.3243400058021468,fake_rate_by_rating,,,,,,,,
all,4.0,4829.0,1899.0,0.3932491199006005,fake_rate_by_rating,,,,,,,,
all,5.0,25304.0,11161.0,0.44107650964274425,fake_rate_by_rating,,,,,,,,
fake,1.0,2435.0,2435.0,1.0,extreme_rating_stats,,,,,,,,
fake,5.0,11161.0,11161.0,1.0,extreme_rating_stats,,,,,,,,
real,1.0,4085.0,0.0,0.0,extreme_rating_stats,,,,,,,,
real,5.0,14143.0,0.0,0.0,extreme_rating_stats,,,,,,,,
fake,,,,,rating_summary_by_label,17494.0,4.055790556762319,1.4673322705711598,1.0,3.0,5.0,5.0,5.0
real,,,,,rating_summary_by_label,25255.0,3.842526232429222,1.5373021712477468,1.0,3.0,5.0,5.0,5.0
