generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_name
2026-06-09T19:35:59.750374+00:00,42,val,phase5_lgbm_raw,0.5,default_0.5,0.9078434430063933,0.9016114165431406,0.9673563218390805,0.801829268292683,0.8768493436132527,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3718,71,520,2104,phase5_lgbm_raw
2026-06-09T19:35:59.765374+00:00,42,test,phase5_lgbm_raw,0.5,default_0.5,0.9109621082176829,0.9050990426953921,0.9676537585421412,0.8094512195121951,0.8815106868644947,3789,2624,0.9548345579952238,0.955677384441467,0.07325449329286694,3718,71,500,2124,phase5_lgbm_raw
2026-06-09T19:36:00.802054+00:00,42,val,phase5_xgb_raw,0.5,default_0.5,0.9086231093092156,0.9024846015671724,0.9674311926605504,0.803734756097561,0.8780183180682765,3789,2624,0.9546650807214722,0.9544006682885638,0.0706103767476339,3718,71,515,2109,phase5_xgb_raw
2026-06-09T19:36:00.813768+00:00,42,test,phase5_xgb_raw,0.5,default_0.5,0.9117417745205052,0.905937818420417,0.9685792349726776,0.8105945121951219,0.8825726141078838,3789,2624,0.9530633444695493,0.9543128760571439,0.0698251954982512,3720,69,497,2127,phase5_xgb_raw
2026-06-09T19:36:01.825036+00:00,42,val,phase5_mlp_raw,0.5,default_0.5,0.8994230469359115,0.8944800417856876,0.9121199500208247,0.8346036585365854,0.8716417910447761,3789,2624,0.9507677069050975,0.9455152197862723,0.07693606380010234,3578,211,434,2190,phase5_mlp_raw
2026-06-09T19:36:01.835720+00:00,42,test,phase5_mlp_raw,0.5,default_0.5,0.9036332449711524,0.8989613441737867,0.9161825726141078,0.8414634146341463,0.8772348033373063,3789,2624,0.9504645588320491,0.9462491138185672,0.07477572861748784,3587,202,416,2208,phase5_mlp_raw
2026-06-09T19:36:02.858429+00:00,42,val,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.9360673631685639,0.9333757303424539,0.9428,0.8982469512195121,0.919984387197502,3789,2624,0.9643957918943799,0.9606585733979404,0.05801206091852894,3646,143,267,2357,phase5_cnn_bilstm_sequence
2026-06-09T19:36:02.868441+00:00,42,test,phase5_cnn_bilstm_sequence,0.5,default_0.5,0.935131763605177,0.9324271640061114,0.9405426975259378,0.8982469512195121,0.9189083820662768,3789,2624,0.9636659332374202,0.961353875977085,0.05831935118874577,3640,149,267,2357,phase5_cnn_bilstm_sequence
2026-06-09T19:36:03.866527+00:00,42,val,phase5_weighted_blend,0.5,default_0.5,0.9394978949009823,0.9367400654015107,0.9563265306122449,0.8929115853658537,0.9235317303902246,3789,2624,0.9756133769770002,0.9752348606418502,0.049417322812887875,3682,107,281,2343,phase5_weighted_blend
2026-06-09T19:36:03.876733+00:00,42,test,phase5_weighted_blend,0.5,default_0.5,0.938406362077031,0.9354699874373156,0.9603469640644362,0.8860518292682927,0.9217046580773043,3789,2624,0.9760437587303428,0.9758176766023731,0.04885332279949528,3693,96,299,2325,phase5_weighted_blend
2026-06-09T19:36:04.883743+00:00,42,val,phase5_stacking_calibrated,0.5,default_0.5,0.91330110712615,0.9075691307792171,0.9717153284671532,0.8117378048780488,0.8845514950166113,3789,2624,0.9724195098616663,0.9706994133106893,0.07792228294919346,3727,62,494,2130,phase5_stacking_calibrated
2026-06-09T19:36:04.894520+00:00,42,test,phase5_stacking_calibrated,0.5,default_0.5,0.9159519725557461,0.9104912064119717,0.9727891156462585,0.817454268292683,0.8883826879271071,3789,2624,0.9731240223625514,0.971522871188882,0.07471708905656851,3729,60,479,2145,phase5_stacking_calibrated
