section,item,metric_summary,source_path,notes
final_metrics,phase5_weighted_blend_default_0.5,macro_f1=0.9433; precision_fake=0.9699; recall_fake=0.8956; roc_auc=0.9769,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_final_metrics.csv,Default threshold comparison row.
final_metrics,phase5_weighted_blend_phase5_selected_precision_threshold,macro_f1=0.9126; precision_fake=0.9816; recall_fake=0.8152; roc_auc=0.9769,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_final_metrics.csv,Use default for balanced Macro F1; use selected threshold for high Precision Fake audit.
target_audit,default_0.5_precision_fake,actual=0.9699; target=0.9750; gap=-0.0051,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target missed; report explicitly.
target_audit,phase5_balanced_macro_f1_threshold_precision_fake,actual=0.9344; target=0.9750; gap=-0.0406,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target missed; report explicitly.
ablation,largest_macro_f1_gap_Model E,full_minus_variant_macro_f1=0.1769; evidence=direct_artifact_nearest_baseline,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,Nearest available baseline from Phase 4; it removes PSO and ensemble but still uses Phase 3 PCA and all 9 behavioral features. Do not overclaim it as a full no-PCA/no-advanced retrain.
robustness_xai_pointer,phase6_final_shap_importance,available,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase6_final_shap_global_importance.csv,Final-track XAI pointers are headline; legacy PCA rows are appendix-only.
robustness_xai_pointer,phase6_final_lime_cases,available,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase6_final_lime_case_summary.csv,Final-track XAI pointers are headline; legacy PCA rows are appendix-only.
robustness_xai_pointer,phase6_robustness_metrics_legacy,available,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase6_robustness_metrics.csv,Final-track XAI pointers are headline; legacy PCA rows are appendix-only.
robustness_xai_pointer,phase6_shap_importance_legacy,available,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase6_shap_global_importance.csv,Final-track XAI pointers are headline; legacy PCA rows are appendix-only.
robustness_xai_pointer,phase6_lime_cases_legacy,available,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase6_lime_case_summary.csv,Final-track XAI pointers are headline; legacy PCA rows are appendix-only.
